DEPTH,CNL_dec,DENS,SONI,LL9D,LL9S,MSFL,GrC,VCL,SW
10143.5,0.2283,2.45,57.62,2.087,2.144,3.411,117.6,0.325,1
10144,0.2215,2.484,62.35,3.072,2.717,4.101,104.3,0.225,1
10144.5,0.2141,2.525,67.46,4.008,3.292,4.711,96.73,0.1682,1
10145,0.1962,2.564,75.73,7.451,4.306,11.88,95.22,0.1569,1
10145.5,0.174,2.604,85.97,10.17,7.179,38.49,101.3,0.2023,1
10146,0.1444,2.644,85.97,5.784,9.706,24.99,127.2,0.3966,1
10146.5,0.122,2.637,86.75,2.841,7.666,10.13,138.6,0.4825,1
10147,0.1362,2.598,86.75,2.122,3.185,3.877,148.7,0.5579,1
10147.5,0.1537,2.559,88.32,1.917,2.453,3.6,152.7,0.2938,1
10148,0.1787,2.52,91.47,1.988,2.306,3.877,152.7,0.2938,1
10148.5,0.1999,2.493,89.11,1.988,2.299,4.856,147.3,0.2251,1
10149,0.1976,2.485,86.75,1.988,2.299,3.787,144.9,0.1948,1
10149.5,0.1976,2.466,83.6,1.783,2.299,3.103,143.7,0.1796,1
10150,0.2026,2.455,84.19,1.952,2.015,3.126,139.1,0.1225,1
10150.5,0.2098,2.459,85.56,2.341,2.296,2.836,137.6,0.1029,1
10151,0.2127,2.457,89.3,2.471,2.512,2.778,134.6,0.06535,1
10151.5,0.2046,2.45,92.25,2.471,2.66,4.289,134.6,0.06539,1
10152,0.1938,2.462,89.89,2.471,2.81,6.105,138.2,0.1112,1
10152.5,0.1891,2.468,87.53,2.138,2.876,4.153,140.7,0.1416,1
10153,0.1999,2.453,83.98,1.849,2.494,3.281,140.7,0.1417,1
10153.5,0.2212,2.439,81.36,1.917,2.239,2.596,140.7,0.1417,1
10154,0.2316,2.424,81.22,2.299,2.086,2.494,140.7,0.1417,1
10154.5,0.2306,2.425,88.57,2.547,2.24,3.292,135.8,0.08029,1
10155,0.2188,2.445,95.4,3.303,2.716,4.343,134,0.05797,1
10155.5,0.1999,2.465,95,3.552,3.193,7.993,136.3,0.08624,1
10156,0.1822,2.485,92.25,2.521,3.594,8.394,140.7,0.1418,1
10156.5,0.1786,2.475,88.31,2.019,3.408,5.577,148.2,0.2371,1
10157,0.207,2.449,85.16,1.849,2.623,3.355,149.8,0.2562,1
10157.5,0.2315,2.423,86.47,1.988,2.139,2.771,145.2,0.1991,1
10158,0.2315,2.397,90.27,2.299,2.021,2.931,142.2,0.161,1
10158.5,0.2315,2.416,90.27,2.781,2.206,3.652,142.2,0.161,1
10159,0.2164,2.435,91.85,3.425,2.56,4.649,145.2,0.1989,1
10159.5,0.2046,2.455,91.65,3.303,3.123,6.737,149.8,0.2564,1
10160,0.2068,2.456,91.06,3.026,3.57,8.348,155.9,0.3338,1
10160.5,0.2093,2.446,94.4,2.706,3.475,6.983,159.8,0.3821,1
10161,0.2188,2.435,96.57,2.563,3.194,5.098,164.9,0.447,1
10161.5,0.2211,2.424,95.78,2.383,2.886,4.272,167.8,0.483,1
10162,0.2211,2.43,96.17,2.177,2.656,3.932,170.7,0.5194,1
